"","Order","BinPerm","CatPerm","ContPerm","BinRank","CatRank","ContRank","Bin%","Cat%","Cont%","BinRank%","CatRank%","ContRank%"
"PHPT1",1255,"9.55e-01","5.17e-01","6.09e-01","13956","9581","8499","0.931","0.591","0.611","0.861","0.591","0.611"
"TRAF2",1256,"8.39e-01","3.66e-01","4.03e-01","11236","7381","5650","0.75","0.456","0.406","0.693","0.455","0.406"
"ABHD8",1257,"5.3e-02","5.34e-03","3.73e-01","1591","254","5288","0.106","0.0157","0.38","0.0982","0.0157","0.38"
"HELB",1258,"8.21e-01","2.3e-01","1.75e-01","10883","5253","2537","0.726","0.324","0.182","0.671","0.324","0.182"
"YEATS4",1259,"NA","1.02e-01","NA","15119","2792","NA","NA","0.172","NA","0.933","0.172","NA"
"TAS2R3",1260,"2.94e-01","5.02e-01","6.4e-03","5612","9379","173","0.374","0.579","0.0124","0.346","0.579","0.0124"
"TAS2R4",1261,"3.98e-01","4.2e-01","8.34e-01","6483","8157","11622","0.433","0.503","0.835","0.4","0.503","0.835"
"TAS2R5",1262,"1.94e-01","4.36e-01","NA","4522","8384","NA","0.302","0.517","NA","0.279","0.517","NA"
"ZNF777",1263,"8.64e-01","8.62e-01","6.36e-01","11803","14203","8869","0.788","0.877","0.638","0.728","0.876","0.638"
"IDUA",1264,"9.87e-01","5.83e-01","2.64e-01","14659","10474","3769","0.978","0.646","0.271","0.904","0.646","0.271"
"ZNF317",1265,"4.76e-01","6.7e-01","6.77e-01","7075","11581","9455","0.472","0.715","0.68","0.436","0.714","0.68"
"PIN1",1266,"NA","5.8e-01","NA","15120","10436","NA","NA","0.644","NA","0.933","0.644","NA"
"FBXL12",1267,"3.41e-01","7.13e-01","2.46e-01","6024","12133","3518","0.402","0.749","0.253","0.372","0.749","0.253"
"KIF17",1268,"4.04e-02","2.79e-01","4.8e-01","1203","6044","6726","0.0803","0.373","0.483","0.0742","0.373","0.483"
"KLF2",1269,"8.62e-01","3.72e-01","NA","11747","7470","NA","0.784","0.461","NA","0.725","0.461","NA"
"F2RL3",1270,"3.35e-01","9.25e-01","9.81e-01","5975","15047","13649","0.399","0.929","0.981","0.369","0.928","0.981"
"JPT2",1271,"9.03e-01","8.12e-01","2.63e-01","12717","13487","3761","0.849","0.832","0.27","0.785","0.832","0.27"
"GFER",1272,"7.62e-01","5.07e-01","3.06e-01","9871","9450","4328","0.659","0.583","0.311","0.609","0.583","0.311"
"SYNGR3",1273,"5.75e-01","5.24e-01","3.66e-01","7828","9695","5185","0.522","0.598","0.373","0.483","0.598","0.373"
"WDR24",1274,"8.38e-01","4.66e-01","9.27e-01","11214","8841","12931","0.748","0.546","0.929","0.692","0.545","0.929"
"MON1B",1275,"7.3e-01","9.53e-01","7.36e-01","9416","15477","10255","0.628","0.955","0.737","0.581","0.955","0.737"
"METTL25",1276,"1.43e-01","2.06e-01","3.1e-01","3729","4836","4392","0.249","0.298","0.316","0.23","0.298","0.316"
"EIF3K",1277,"NA","2.97e-03","NA","15121","173","NA","NA","0.0107","NA","0.933","0.0107","NA"
"EMC6",1278,"NA","6.95e-01","NA","15122","11903","NA","NA","0.735","NA","0.933","0.734","NA"
"CACTIN",1279,"1.26e-01","2.34e-01","5.24e-01","3422","5321","7344","0.228","0.328","0.528","0.211","0.328","0.528"
"TUBA4A",1280,"NA","2.74e-02","NA","15123","939","NA","NA","0.058","NA","0.933","0.0579","NA"
"VIL1",1281,"2.58e-01","9.68e-02","5.43e-02","5280","2671","888","0.352","0.165","0.0638","0.326","0.165","0.0638"
"AAMP",1282,"2.94e-01","1.07e-01","6.28e-01","5616","2917","8761","0.375","0.18","0.63","0.346","0.18","0.63"
"FGL2",1283,"1.59e-01","5.55e-01","5.69e-01","4014","10102","7942","0.268","0.624","0.571","0.248","0.623","0.571"
"STYXL1",1284,"1.94e-01","4.99e-01","6.42e-01","4524","9343","8949","0.302","0.577","0.643","0.279","0.576","0.643"
"PEX1",1285,"2.72e-01","8.69e-01","7.44e-01","5395","14288","10384","0.36","0.882","0.746","0.333","0.881","0.746"
"LRFN1",1286,"1.39e-01","6.29e-01","8.62e-01","3663","11063","12024","0.244","0.683","0.864","0.226","0.683","0.864"
"RASL11B",1287,"3.85e-03","2.44e-01","6.87e-02","12","5500","1078","0.000801","0.339","0.0775","0.00074","0.339","0.0775"
"TUBGCP6",1288,"9.72e-01","7.82e-01","1.51e-01","14350","13055","2204","0.958","0.806","0.158","0.885","0.805","0.158"
"DGCR6L",1289,"1.31e-01","1.21e-01","4.4e-01","3526","3198","6180","0.235","0.197","0.444","0.218","0.197","0.444"
"CYTH4",1290,"9.23e-01","9.97e-01","3.59e-01","13201","16156","5072","0.881","0.997","0.365","0.814","0.997","0.365"
"SGSM3",1291,"7.05e-01","9.5e-01","9.61e-01","9093","15421","13363","0.607","0.952","0.961","0.561","0.951","0.961"
"SEZ6L",1292,"3.76e-01","3.65e-01","4.7e-01","6287","7361","6592","0.42","0.454","0.474","0.388","0.454","0.474"
"VPREB3",1293,"5.99e-02","7.06e-01","3.04e-01","1811","12054","4308","0.121","0.744","0.31","0.112","0.744","0.31"
"SDF2L1",1294,"1.56e-01","4.95e-02","7.72e-02","3959","1578","1215","0.264","0.0974","0.0873","0.244","0.0974","0.0873"
"YWHAH",1295,"NA","4.59e-01","NA","15124","8736","NA","NA","0.539","NA","0.933","0.539","NA"
"MCHR1",1296,"9.44e-01","4.47e-01","5.82e-01","13690","8561","8125","0.914","0.528","0.584","0.845","0.528","0.584"
"GALR3",1297,"3.28e-02","9.59e-02","3.74e-01","934","2648","5291","0.0623","0.163","0.38","0.0576","0.163","0.38"
"CCDC117",1298,"8.23e-01","7.9e-01","8.53e-01","10935","13173","11873","0.73","0.813","0.853","0.675","0.813","0.853"
"RAC2",1299,"NA","5.96e-01","NA","15125","10645","NA","NA","0.657","NA","0.933","0.657","NA"
"LIF",1300,"6.21e-02","2.45e-01","7.67e-01","1889","5514","10671","0.126","0.34","0.767","0.117","0.34","0.767"
"PMPCB",1301,"1.6e-02","5.45e-01","6.43e-01","358","9957","8963","0.0239","0.615","0.644","0.0221","0.614","0.644"
"TAS2R16",1302,"2.02e-01","9.53e-01","NA","4645","15471","NA","0.31","0.955","NA","0.287","0.954","NA"
"LSM8",1303,"NA","3.12e-01","NA","15126","6547","NA","NA","0.404","NA","0.933","0.404","NA"
"VGF",1304,"6.38e-01","6.44e-02","4.28e-01","8399","1932","6016","0.56","0.119","0.432","0.518","0.119","0.432"
"STRIP2",1305,"6.43e-03","1.51e-01","1.8e-01","64","3813","2612","0.00427","0.235","0.188","0.00395","0.235","0.188"
"DNAJB9",1306,"1.22e-01","9.5e-01","3.98e-01","3343","15412","5588","0.223","0.951","0.402","0.206","0.951","0.402"
"LRRC4",1307,"1.17e-01","1.68e-01","1.46e-01","3224","4138","2127","0.215","0.255","0.153","0.199","0.255","0.153"
"SMO",1308,"9.99e-01","6.85e-01","1.13e-01","14920","11758","1704","0.996","0.726","0.122","0.92","0.725","0.122"
"OPN1SW",1309,"7.78e-01","1.01e-01","8.77e-01","10107","2778","12210","0.674","0.171","0.878","0.624","0.171","0.878"
"SIRT2",1310,"9.94e-01","7.35e-01","4.9e-01","14793","12412","6856","0.987","0.766","0.493","0.913","0.766","0.493"
"MTX2",1311,"8.21e-02","5.97e-03","1.09e-01","2434","267","1650","0.162","0.0165","0.119","0.15","0.0165","0.119"
"HOXD9",1312,"9.85e-01","8.26e-01","6.83e-01","14618","13705","9529","0.975","0.846","0.685","0.902","0.846","0.685"
"HOXD10",1313,"NA","2.62e-03","NA","15127","153","NA","NA","0.00944","NA","0.933","0.00944","NA"
"HOXD11",1314,"1.43e-01","6.64e-01","1.68e-01","3735","11508","2425","0.249","0.71","0.174","0.23","0.71","0.174"
"PIAS1",1315,"8.17e-01","8.72e-01","7.18e-01","10800","14342","10018","0.721","0.885","0.72","0.666","0.885","0.72"
"SNAP23",1316,"1.93e-01","8.95e-01","1.03e-01","4506","14638","1566","0.301","0.903","0.113","0.278","0.903","0.113"
"TMOD2",1317,"6.01e-02","8.8e-01","7.58e-01","1814","14448","10556","0.121","0.892","0.759","0.112","0.891","0.759"
"DLL4",1318,"1.42e-01","5.29e-01","3.84e-01","3721","9761","5422","0.248","0.602","0.39","0.23","0.602","0.39"
"ALDH1A2",1319,"8.26e-01","5.05e-01","4.93e-01","10994","9412","6896","0.734","0.581","0.496","0.678","0.581","0.496"
"KNSTRN",1320,"1.21e-01","3.51e-01","4.72e-01","3321","7145","6606","0.222","0.441","0.475","0.205","0.441","0.475"
"CLN6",1321,"6.65e-02","4.24e-01","6.78e-01","2001","8227","9462","0.134","0.508","0.68","0.123","0.508","0.68"
"ISLR",1322,"6.5e-01","4.81e-01","2.42e-02","8518","9061","434","0.568","0.559","0.0312","0.526","0.559","0.0312"
"ACKR4",1323,"9.92e-01","7.77e-01","2.96e-01","14757","12977","4191","0.985","0.801","0.301","0.91","0.801","0.301"
"MBD4",1324,"7.62e-01","5.66e-01","5.35e-01","9872","10244","7485","0.659","0.632","0.538","0.609","0.632","0.538"
"COPB1",1325,"1e+00","8.12e-01","3.06e-01","14969","13483","4329","0.999","0.832","0.311","0.923","0.832","0.311"
"MYOD1",1326,"4.76e-01","9.68e-01","7.14e-01","7074","15698","9967","0.472","0.969","0.716","0.436","0.968","0.716"
"TPH1",1327,"2.04e-01","1.24e-01","3.26e-01","4675","3272","4624","0.312","0.202","0.332","0.288","0.202","0.332"
"SOX15",1328,"8.55e-01","5.17e-01","1.63e-01","11599","9584","2365","0.774","0.592","0.17","0.716","0.591","0.17"
"TXNDC17",1329,"9.38e-01","9.71e-01","5.8e-01","13565","15755","8108","0.905","0.972","0.583","0.837","0.972","0.583"
"ATP1B2",1330,"4.6e-03","3.55e-03","8.38e-01","34","186","11665","0.00227","0.0115","0.838","0.0021","0.0115","0.838"
"FXR2",1331,"9.19e-02","7.36e-01","4.6e-01","2686","12422","6457","0.179","0.767","0.464","0.166","0.766","0.464"
"MPDU1",1332,"9.66e-02","4.94e-02","3.57e-01","2796","1576","5043","0.187","0.0973","0.362","0.172","0.0972","0.362"
"CCN4",1333,"8.53e-01","8.24e-01","5.18e-01","11544","13669","7265","0.77","0.844","0.522","0.712","0.843","0.522"
"QTRT1",1334,"9.24e-01","3.5e-01","7.32e-01","13224","7134","10211","0.882","0.44","0.734","0.816","0.44","0.734"
"CLEC11A",1335,"2.73e-01","7.33e-01","6.92e-02","5417","12386","1085","0.361","0.764","0.0781","0.334","0.764","0.078"
"KLK12",1336,"2.11e-01","1.28e-01","NA","4758","3349","NA","0.317","0.207","NA","0.294","0.207","NA"
"DHRS2",1337,"4.91e-01","5.92e-01","NA","7179","10584","NA","0.479","0.653","NA","0.443","0.653","NA"
"BCL2L2",1338,"NA","1.09e-02","NA","15128","458","NA","NA","0.0283","NA","0.933","0.0283","NA"
"PARP2",1339,"4.48e-01","8.38e-01","6.47e-01","6871","13872","9007","0.458","0.856","0.647","0.424","0.856","0.647"
"FOXA1",1340,"2.18e-01","4.09e-01","9.26e-01","4838","8012","12915","0.323","0.495","0.928","0.298","0.494","0.928"
"EAPP",1341,"2.96e-01","2.55e-01","2.89e-01","5635","5675","4085","0.376","0.35","0.294","0.348","0.35","0.294"
"EGLN3",1342,"7.35e-01","5.12e-01","5.42e-01","9463","9521","7566","0.631","0.588","0.544","0.584","0.587","0.544"
"DAD1",1343,"NA","2.19e-03","NA","15129","126","NA","NA","0.00778","NA","0.933","0.00777","NA"
"CDO1",1344,"1.71e-01","3.96e-01","1.14e-01","4194","7809","1720","0.28","0.482","0.124","0.259","0.482","0.124"
"RAP1B",1345,"NA","4.39e-01","NA","15130","8430","NA","NA","0.52","NA","0.933","0.52","NA"
"AANAT",1346,"8.24e-01","8.77e-02","7.26e-01","10954","2433","10114","0.731","0.15","0.727","0.676","0.15","0.727"
"ARHGEF6",1347,"4.94e-03","4.43e-02","3.09e-01","41","1423","4378","0.00274","0.0878","0.315","0.00253","0.0878","0.315"
"ART1",1348,"4.85e-01","7.24e-01","5.64e-01","7141","12262","7871","0.477","0.757","0.566","0.441","0.756","0.566"
"CHRNA10",1349,"9.2e-01","6.46e-01","5.37e-01","13127","11261","7511","0.876","0.695","0.54","0.81","0.695","0.54"
"DAZL",1350,"8.86e-01","1.71e-01","1.78e-01","12316","4187","2570","0.822","0.258","0.185","0.76","0.258","0.185"
"MKNK2",1351,"6.78e-01","3.55e-01","1.21e-01","8786","7208","1798","0.586","0.445","0.129","0.542","0.445","0.129"
"KLF16",1352,"7.53e-02","9.83e-03","NA","2234","420","NA","0.149","0.0259","NA","0.138","0.0259","NA"
"INS",1353,"8.33e-01","4.79e-01","1.24e-01","11104","9033","1844","0.741","0.558","0.133","0.685","0.557","0.133"
"ABHD17A",1354,"2.27e-01","7.98e-01","8.73e-01","4943","13287","12157","0.33","0.82","0.874","0.305","0.82","0.874"
"SALL1",1355,"6.11e-01","1.52e-01","7.45e-01","8134","3850","10394","0.543","0.238","0.747","0.502","0.238","0.747"
"ZC3H14",1356,"8.05e-01","4.41e-02","5.69e-01","10588","1413","7951","0.707","0.0872","0.572","0.653","0.0872","0.572"
"LMAN1",1357,"6.79e-01","7.87e-01","7.26e-01","8797","13126","10116","0.587","0.81","0.727","0.543","0.81","0.727"
"ANGEL1",1358,"9.08e-01","8.56e-01","7.72e-01","12857","14121","10739","0.858","0.872","0.772","0.793","0.871","0.772"
"CDADC1",1359,"2.69e-01","4.08e-01","9.98e-01","5372","7994","13892","0.358","0.493","0.999","0.331","0.493","0.999"
"VPS35L",1360,"2.16e-01","4.85e-01","6.1e-01","4816","9140","8509","0.321","0.564","0.612","0.297","0.564","0.612"
"CORO7",1361,"9.61e-01","4.81e-01","5.57e-01","14081","9068","7781","0.94","0.56","0.559","0.869","0.559","0.559"
"SEC14L5",1362,"3.63e-02","5.08e-02","2.52e-01","1058","1613","3599","0.0706","0.0996","0.259","0.0653","0.0995","0.259"
"CLSPN",1363,"1.57e-01","3.84e-01","5.55e-01","3988","7657","7750","0.266","0.473","0.557","0.246","0.472","0.557"
"PBX4",1364,"7.54e-01","3.78e-01","NA","9758","7555","NA","0.651","0.466","NA","0.602","0.466","NA"
"DHX40",1365,"7.5e-01","9.87e-01","4.58e-01","9690","15999","6425","0.647","0.987","0.462","0.598","0.987","0.462"
"HCN2",1366,"1.79e-01","5.92e-01","NA","4306","10579","NA","0.287","0.653","NA","0.266","0.653","NA"
"IGSF21",1367,"6.22e-02","1.84e-01","5.3e-01","1891","4451","7425","0.126","0.275","0.534","0.117","0.275","0.534"
"SLX1A",1368,"8.43e-01","1.78e-01","7.21e-02","11323","4337","1123","0.756","0.268","0.0807","0.699","0.268","0.0807"
"TUBG2",1369,"NA","3.7e-02","NA","15131","1214","NA","NA","0.0749","NA","0.933","0.0749","NA"
"TUBG1",1370,"NA","2.73e-01","NA","15132","5942","NA","NA","0.367","NA","0.934","0.367","NA"
"MAST1",1371,"7.94e-01","2.27e-01","1.36e-01","10379","5180","1992","0.693","0.32","0.143","0.64","0.32","0.143"
"NCAPG",1372,"9.34e-01","7.14e-01","6.94e-01","13493","12140","9692","0.9","0.749","0.697","0.832","0.749","0.697"
"RABGAP1L",1373,"8.7e-01","5.41e-01","6.08e-01","11919","9902","8483","0.795","0.611","0.61","0.735","0.611","0.61"
"ADAMTS2",1374,"9.72e-02","1.71e-01","3.8e-01","2805","4182","5383","0.187","0.258","0.387","0.173","0.258","0.387"
"CIAO3",1375,"8.64e-01","5.78e-01","6.5e-01","11791","10401","9059","0.787","0.642","0.651","0.727","0.642","0.651"
"TRNT1",1376,"9.92e-01","5.1e-01","8.93e-01","14755","9487","12443","0.985","0.586","0.894","0.91","0.585","0.894"
"DHX58",1377,"9.69e-01","8.01e-01","2.65e-01","14288","13325","3777","0.953","0.822","0.271","0.881","0.822","0.271"
"KRT12",1378,"6.88e-01","2.08e-01","1.29e-02","8877","4862","293","0.592","0.3","0.0211","0.548","0.3","0.0211"
"KRT31",1379,"9.66e-01","6.48e-01","7.71e-01","14212","11292","10713","0.948","0.697","0.77","0.877","0.697","0.77"
"KRT33B",1380,"3e-02","6.04e-02","NA","850","1836","NA","0.0567","0.113","NA","0.0524","0.113","NA"
"ARFGEF3",1381,"8.03e-01","3.01e-02","9.11e-01","10551","1013","12685","0.704","0.0625","0.912","0.651","0.0625","0.912"
"SNX4",1382,"1.54e-01","7.23e-01","1.05e-01","3926","12248","1590","0.262","0.756","0.114","0.242","0.756","0.114"
"ROPN1B",1383,"9.64e-01","3.94e-01","5.79e-01","14160","7777","8093","0.945","0.48","0.582","0.874","0.48","0.582"
"SPAG1",1384,"6.66e-02","4.06e-01","3.96e-01","2010","7966","5574","0.134","0.492","0.401","0.124","0.491","0.401"
"RRM2B",1385,"5.01e-01","9.77e-02","3.52e-01","7246","2695","4978","0.484","0.166","0.358","0.447","0.166","0.358"
"TDRD1",1386,"3.72e-02","9.58e-03","9.56e-02","1089","414","1473","0.0727","0.0256","0.106","0.0672","0.0255","0.106"
"SCML2",1387,"1.63e-01","1.09e-02","6.82e-01","4078","459","9519","0.272","0.0283","0.684","0.252","0.0283","0.684"
"TSG101",1388,"9.06e-01","3.76e-01","2.39e-02","12790","7518","429","0.853","0.464","0.0308","0.789","0.464","0.0308"
"KIAA0930",1389,"8.21e-01","5.01e-01","1.09e-01","10871","9365","1660","0.725","0.578","0.119","0.671","0.578","0.119"
"DHX35",1390,"7.95e-02","3.03e-01","9.22e-01","2357","6409","12858","0.157","0.396","0.924","0.145","0.395","0.924"
"TRPC4AP",1391,"7.97e-01","8.83e-01","3.75e-01","10432","14498","5314","0.696","0.895","0.382","0.644","0.894","0.382"
"C20orf194",1392,"8.48e-01","3.64e-01","1.86e-01","11412","7334","2696","0.762","0.453","0.194","0.704","0.452","0.194"
"FKBP6",1393,"9.26e-01","5.45e-01","5.1e-01","13292","9959","7146","0.887","0.615","0.514","0.82","0.614","0.514"
"CUL9",1394,"9.98e-01","5.09e-01","8.12e-01","14871","9481","11277","0.992","0.585","0.811","0.917","0.585","0.811"
"PCDHGA12",1395,"1.88e-01","4.26e-01","NA","4434","8249","NA","0.296","0.509","NA","0.274","0.509","NA"
"PCDHGC5",1396,"1.57e-02","1.01e-01","6.89e-01","351","2776","9615","0.0234","0.171","0.691","0.0217","0.171","0.691"
"TMCO6",1397,"9.11e-01","8.21e-01","2.36e-01","12916","13634","3383","0.862","0.842","0.243","0.797","0.841","0.243"
"NDUFA2",1398,"1.08e-02","2.5e-01","3.77e-01","208","5581","5347","0.0139","0.344","0.384","0.0128","0.344","0.384"
"ESS2",1399,"8.19e-01","4.91e-01","1.01e-02","10840","9220","237","0.723","0.569","0.0171","0.669","0.569","0.017"
"KRT5",1400,"4.34e-01","3.27e-01","4.61e-01","6772","6778","6467","0.452","0.418","0.465","0.418","0.418","0.465"
"KRT75",1401,"5.7e-02","2.82e-01","2.76e-03","1717","6081","91","0.115","0.375","0.00654","0.106","0.375","0.00654"
"DPF2",1402,"NA","6.76e-04","NA","15133","49","NA","NA","0.00302","NA","0.934","0.00302","NA"
"GAMT",1403,"8.37e-01","4.02e-01","3.92e-02","11193","7888","662","0.747","0.487","0.0476","0.691","0.487","0.0476"
"GALNT8",1404,"5.92e-01","6.76e-01","NA","7966","11656","NA","0.532","0.719","NA","0.491","0.719","NA"
"PSMG3",1405,"9.97e-01","8.54e-01","5.28e-02","14853","14097","860","0.991","0.87","0.0618","0.916","0.87","0.0618"
"FAM155B",1406,"7.29e-01","7.79e-01","1.91e-01","9405","13011","2763","0.628","0.803","0.199","0.58","0.803","0.199"
"CNN1",1407,"2.73e-01","1.66e-01","9.93e-01","5412","4093","13822","0.361","0.253","0.994","0.334","0.253","0.994"
"CDC16",1408,"3.61e-01","4.72e-01","3.72e-02","6168","8938","622","0.412","0.552","0.0447","0.381","0.551","0.0447"
"NECTIN2",1409,"7.34e-01","3.52e-01","5.39e-01","9459","7164","7536","0.631","0.442","0.542","0.584","0.442","0.542"
"APOE",1410,"8.84e-01","8.56e-01","2.05e-01","12281","14120","2947","0.819","0.871","0.212","0.758","0.871","0.212"
"TOMM40",1411,"8.53e-02","3.74e-01","3.75e-01","2506","7493","5319","0.167","0.462","0.382","0.155","0.462","0.382"
"APOC2",1412,"5.13e-01","1.18e-01","5.64e-01","7342","3143","7877","0.49","0.194","0.566","0.453","0.194","0.566"
"ALLC",1413,"1.41e-01","2.75e-01","5.65e-01","3696","5974","7883","0.247","0.369","0.567","0.228","0.369","0.567"
"GADD45G",1414,"2.66e-01","5.69e-02","3.8e-01","5348","1765","5381","0.357","0.109","0.387","0.33","0.109","0.387"
"XPO7",1415,"NA","9.78e-01","5.85e-01","15134","15877","8177","NA","0.98","0.588","0.934","0.98","0.588"
"FAM98C",1416,"6.91e-01","2.97e-01","9.22e-01","8912","6319","12852","0.595","0.39","0.924","0.55","0.39","0.924"
"SAFB2",1417,"7.04e-01","1.28e-02","4.88e-01","9090","516","6816","0.607","0.0318","0.49","0.561","0.0318","0.49"
"NCAN",1418,"8.85e-02","5.42e-02","2.58e-01","2592","1700","3679","0.173","0.105","0.264","0.16","0.105","0.264"
"PLVAP",1419,"8.47e-02","9.23e-01","7e-01","2491","15023","9774","0.166","0.927","0.703","0.154","0.927","0.703"
"SLC27A1",1420,"7.66e-01","4.44e-01","6.2e-01","9919","8496","8652","0.662","0.524","0.622","0.612","0.524","0.622"
"USHBP1",1421,"9.06e-01","2.87e-01","9.02e-01","12786","6159","12564","0.853","0.38","0.903","0.789","0.38","0.903"
"COLGALT1",1422,"7.73e-01","9.64e-02","5.75e-01","10030","2658","8039","0.669","0.164","0.578","0.619","0.164","0.578"
"PGLS",1423,"4.01e-01","1.66e-01","7.99e-01","6495","4101","11103","0.433","0.253","0.798","0.401","0.253","0.798"
"LSM7",1424,"NA","4.63e-01","NA","15135","8790","NA","NA","0.543","NA","0.934","0.542","NA"
"RSPH3",1425,"5.21e-02","3.63e-01","6.46e-01","1562","7323","8998","0.104","0.452","0.647","0.0964","0.452","0.647"
"MLLT1",1426,"2.61e-01","6.2e-01","8.01e-01","5301","10937","11134","0.354","0.675","0.8","0.327","0.675","0.8"
"BMP15",1427,"9.79e-01","9.66e-01","6.05e-01","14511","15671","8441","0.968","0.967","0.607","0.895","0.967","0.607"
"ACTN4",1428,"8.78e-01","6.62e-03","5.21e-01","12119","302","7312","0.809","0.0186","0.526","0.748","0.0186","0.526"
"EPO",1429,"7.16e-01","2.08e-01","8.16e-01","9242","4860","11337","0.617","0.3","0.815","0.57","0.3","0.815"
"CACNG6",1430,"2.09e-01","4.65e-01","9.15e-01","4729","8821","12740","0.316","0.544","0.916","0.292","0.544","0.916"
"ZSWIM6",1431,"2.18e-01","3.33e-02","5.23e-01","4833","1109","7333","0.323","0.0684","0.527","0.298","0.0684","0.527"
"PXDN",1432,"7.68e-01","8.07e-01","2.83e-01","9960","13408","4014","0.665","0.828","0.289","0.614","0.827","0.289"
"GDF15",1433,"8.81e-01","4.55e-01","NA","12178","8662","NA","0.813","0.535","NA","0.751","0.534","NA"
"JUND",1434,"8.87e-01","5.69e-01","NA","12351","10282","NA","0.824","0.635","NA","0.762","0.634","NA"
"TRPM4",1435,"8.81e-01","2.69e-01","3.03e-01","12188","5876","4292","0.813","0.363","0.309","0.752","0.363","0.309"
"OR11H1",1436,"8.87e-01","3.48e-01","NA","12347","7095","NA","0.824","0.438","NA","0.762","0.438","NA"
"NUMBL",1437,"9.29e-01","5.55e-01","4.89e-01","13357","10097","6832","0.891","0.623","0.491","0.824","0.623","0.491"
"ATXN10",1438,"1.4e-01","3.16e-01","7.27e-01","3680","6618","10135","0.246","0.408","0.729","0.227","0.408","0.729"
